index,DATE_TIME,TIME_EPOCH,VOLTAGE,CURRENT,TEMP_SENSOR1,TEMP_SENSOR2,TEMP_SENSOR3,TEMP_SENSOR4,TEMP_SENSOR5,HEATER1_STATUS,HEATER2_STATUS,HEATER3_STATUS,HEATER4_STATUS,HEATER5_STATUS
74,2021-08-26 17:46:40,1630000000000.0,219.04000000000002,12.9,,,,,,,,,,      
75,2021-08-26 17:46:40,1630000000000.0,,12.9,,,,,,,,,,      
76,2021-08-26 17:46:40,1630000000000.0,,12.9,,,,,,,,,,      
77,2021-08-26 17:46:40,1630000000000.0,,13.15,,,,,,,,,,      
78,2021-08-26 17:46:40,1630000000000.0,219.04000000000002,13.15,20.8,,,,,,,,,      
79,2021-08-26 17:46:40,1630000000000.0,,13.15,,,15.0,,,,,,,      
80,2021-08-26 17:46:40,1630000000000.0,,13.15,,,,,,,,,,      
81,2021-08-26 17:46:40,1630000000000.0,,12.9,,,,,,,,,,      
82,2021-08-26 17:46:40,1630000000000.0,219.12,12.9,,,,,,,,,,      
83,2021-08-26 17:46:40,1630000000000.0,,12.9,,,,,,,,,,      
84,2021-08-26 17:46:40,1630000000000.0,,12.9,,,,,,,,,,      
85,2021-08-26 17:46:40,1630000000000.0,,13.15,,,,,,,,,,      
86,2021-08-26 17:46:40,1630000000000.0,219.04000000000002,13.15,,,,,,,,,,      
87,2021-08-26 17:46:40,1630000000000.0,,13.15,,12.0,,,,,,,,      
88,2021-08-26 17:46:40,1630000000000.0,,13.15,,,,,,,,,,      
89,2021-08-26 17:46:40,1630000000000.0,,12.9,,,,,,,,,,      
90,2021-08-26 17:46:40,1630000000000.0,219.04000000000002,12.9,,,,,,,,,,      
91,2021-08-26 17:46:40,1630000000000.0,,12.9,,,,,,,,,,      
92,2021-08-26 17:46:40,1630000000000.0,,12.9,,,,,,,,,,      
93,2021-08-26 17:46:40,1630000000000.0,,13.15,,,,,,,,,,      
94,2021-08-26 17:46:40,1630000000000.0,219.12,13.15,,,,,,,,,,      
95,2021-08-26 17:46:40,1630000000000.0,,13.15,,,,,19.0,,,,,      
96,2021-08-26 17:46:40,1630000000000.0,,13.15,,,,,,,,,,      
97,2021-08-26 17:46:40,1630000000000.0,,10.84,,,,,,1.0,1.0,0.0,,      
98,2021-08-26 17:46:40,1630000000000.0,219.36,10.84,,,,,,,,,,      
99,2021-08-26 17:46:40,1630000000000.0,,10.84,,,,,,,,,,      
100,2021-08-26 17:46:40,1630000000000.0,,10.84,,,,,,,,,1.0,0
101,2021-08-26 17:46:40,1630000000000.0,,11.36,,,,,,,,,,      
102,2021-08-26 17:46:40,1630000000000.0,219.36,11.36,,,,,,,,,,      
103,2021-08-26 17:46:40,1630000000000.0,,11.36,,,,,,,,,,      
104,2021-08-26 17:46:40,1630000000000.0,,11.36,,,,,,,,,,      
105,2021-08-26 17:46:40,1630000000000.0,,10.84,,,,12.09,,,,,,      
106,2021-08-26 17:46:40,1630000000000.0,219.28,10.84,,,,,,,,,,      
107,2021-08-26 17:46:40,1630000000000.0,,10.84,,,,,,,,,,      
108,2021-08-26 17:46:40,1630000000000.0,,10.84,,,,,,,,,,      
109,2021-08-26 17:46:40,1630000000000.0,,11.1,,,,,,,,,,      
110,2021-08-26 17:46:40,1630000000000.0,219.36,11.1,20.8,,,,,,,,,      
111,2021-08-26 17:46:40,1630000000000.0,,11.1,,,23.0,,,,,,,      
112,2021-08-26 17:46:40,1630000000000.0,,11.1,,,,,,,,,,      
113,2021-08-26 17:46:40,1630000000000.0,,11.36,,,,,,,,,,      
114,2021-08-26 17:46:40,1630000000000.0,219.36,11.36,,,,,,,,,,      
115,2021-08-26 17:46:40,1630000000000.0,,11.36,,,,,,,,,,      
116,2021-08-26 17:46:40,1630000000000.0,,11.36,,,,,,,,,,      
117,2021-08-26 17:46:40,1630000000000.0,,11.1,,,,,,,,,,      
118,2021-08-26 17:46:40,1630000000000.0,219.36,11.1,,,,,,,,,,      
119,2021-08-26 17:46:40,1630000000000.0,,11.1,,12.0,,,,,,,,      
120,2021-08-26 17:46:40,1630000000000.0,,11.1,,,,,,,,,,      
121,2021-08-26 17:46:40,1630000000000.0,,11.36,,,,,,,,,,      
122,2021-08-26 17:46:40,1630000000000.0,219.36,11.36,,,,,,,,,,      
123,2021-08-26 17:46:40,1630000000000.0,,11.36,,,,,,,,,,      
124,2021-08-26 17:46:40,1630000000000.0,,11.36,,,,,,,,,,      
125,2021-08-26 17:46:40,1630000000000.0,,11.1,,,,,,,,,,      
126,2021-08-26 17:46:40,1630000000000.0,219.36,11.1,,,,,,,,,,      
127,2021-08-26 17:46:40,1630000000000.0,,11.1,,,,,17.0,,,,,      
128,2021-08-26 17:46:40,1630000000000.0,,11.1,,,,,,,,,,      
