DATE_TIME,TIME_EPOCH,VOLTAGE,CURRENT,TEMP_SENSOR1,TEMP_SENSOR2,TEMP_SENSOR3,HEATER1_STATUS,HEATER2_STATUS,HEATER3_STATUS,MOTION_SENSOR_STATUS
2021-08-26 17:46:40,1630000000000.0,,,,,,,,,
2021-08-26 17:46:40,1630000000000.0,,12.9,,,,1.0,0.0,1.0,
2021-08-26 17:46:40,1630000000000.0,218.1,12.9,,,,,,,
2021-08-26 17:46:40,1630000000000.0,,12.9,,,,,,,
2021-08-26 17:46:40,1630000000000.0,,12.9,,,,,,,1.0
2021-08-26 17:46:40,1630000000000.0,,12.38,,,,,,,
2021-08-26 17:46:40,1630000000000.0,218.02,12.38,,,,,,,
2021-08-26 17:46:40,1630000000000.0,,12.38,,,,,,,
2021-08-26 17:46:40,1630000000000.0,,12.38,,,,,,,
2021-08-26 17:46:40,1630000000000.0,,12.9,,,,,,,
2021-08-26 17:46:40,1630000000000.0,218.02,12.9,,,,,,,
2021-08-26 17:46:40,1630000000000.0,,12.9,,,,,,,
2021-08-26 17:46:40,1630000000000.0,,12.9,,,,,,,
2021-08-26 17:46:40,1630000000000.0,,13.92,,,,,,,
2021-08-26 17:46:40,1630000000000.0,218.02,13.92,20.95,,,,,,
2021-08-26 17:46:40,1630000000000.0,,13.92,,,11.0,,,,
2021-08-26 17:46:40,1630000000000.0,,13.92,,,,,,,
2021-08-26 17:46:40,1630000000000.0,,13.15,,,,,,,
2021-08-26 17:46:40,1630000000000.0,218.02,13.15,,,,,,,
2021-08-26 17:46:40,1630000000000.0,,13.15,,,,,,,
2021-08-26 17:46:40,1630000000000.0,,13.15,,,,,,,
2021-08-26 17:46:40,1630000000000.0,,13.92,,,,,,,
2021-08-26 17:46:40,1630000000000.0,218.02,13.92,,,,,,,
2021-08-26 17:46:40,1630000000000.0,,13.92,,12.0,,,,,
2021-08-26 17:46:40,1630000000000.0,,13.92,,,,,,,
2021-08-26 17:46:40,1630000000000.0,,13.41,,,,,,,
2021-08-26 17:46:40,1630000000000.0,218.02,13.41,,,,,,,
2021-08-26 17:46:40,1630000000000.0,,13.41,,,,,,,
2021-08-26 17:46:40,1630000000000.0,,13.41,,,,,,,
2021-08-26 17:46:40,1630000000000.0,,14.44,,,,,,,
2021-08-26 17:46:40,1630000000000.0,218.02,14.44,,,,,,,
2021-08-26 17:46:40,1630000000000.0,,14.44,,,,,,,
2021-08-26 17:46:40,1630000000000.0,,14.44,,,,,,,
2021-08-26 17:46:40,1630000000000.0,,12.13,,,,1.0,0.0,1.0,
2021-08-26 17:46:40,1630000000000.0,217.94,12.13,,,,,,,
